Latitude (decimal degrees):	50.763
Longitude (decimal degrees):	6.074
Elevation (m):	190
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	20.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200720:0610,894.6,69.19,20.4,14.14,2.48,0.0
20200720:0710,1703.4,117.7,29.86,14.25,2.34,0.0
20200720:0810,2785.6,180.82,39.19,14.51,3.38,0.0
20200720:0910,2189.2,146.46,47.87,15.24,3.93,0.0
20200720:1010,2236.0,150.05,55.03,16.49,3.66,0.0
20200720:1110,2376.0,159.04,59.32,17.48,3.31,0.0
20200720:1210,2315.2,156.34,59.39,18.75,3.17,0.0
20200720:1310,2129.2,145.56,55.21,19.2,3.1,0.0
20200720:1410,5245.8,332.3,48.12,19.75,3.03,0.0
20200720:1510,8235.2,515.83,39.48,19.91,3.1,0.0
20200720:1610,5223.6,338.85,30.15,19.73,3.17,0.0
20200720:1710,2264.0,166.96,20.69,19.37,3.17,0.0
20200720:1810,830.4,66.39,11.47,18.63,3.1,0.0
20200720:1910,52.4,11.62,2.83,17.38,2.97,0.0
20200720:2010,0.0,0.0,0.0,15.92,2.97,0.0
20200720:2110,0.0,0.0,0.0,14.76,2.83,0.0
20200720:2210,0.0,0.0,0.0,13.8,2.48,0.0
20200720:2310,0.0,0.0,0.0,12.96,2.14,0.0
20200721:0010,0.0,0.0,0.0,12.16,1.93,0.0
20200721:0110,0.0,0.0,0.0,11.2,1.66,0.0
20200721:0210,0.0,0.0,0.0,10.34,1.38,0.0
20200721:0310,0.0,0.0,0.0,9.82,1.24,0.0
20200721:0410,1.4,5.81,2.42,9.12,1.31,0.0
20200721:0510,691.6,55.6,11.03,9.44,1.17,0.0
20200721:0610,2767.8,202.77,20.25,11.75,1.72,0.0
20200721:0710,4433.6,277.71,29.71,13.19,2.28,0.0
20200721:0810,7168.8,439.67,39.04,14.57,2.34,0.0
20200721:0910,10258.8,633.59,47.71,15.8,2.48,0.0
20200721:1010,13336.2,839.94,54.85,16.84,2.62,0.0
20200721:1110,15791.8,1014.45,59.13,17.74,2.76,0.0
20200721:1210,15996.2,1033.21,59.2,18.56,2.76,0.0
20200721:1310,15056.0,964.74,55.05,19.17,2.9,0.0
20200721:1410,12770.0,805.02,47.97,19.53,3.1,0.0
20200721:1510,9821.0,614.13,39.34,19.54,3.24,0.0
20200721:1610,5941.4,387.8,30.02,19.37,3.17,0.0
20200721:1710,1882.8,166.08,20.56,18.9,2.9,0.0
20200721:1810,572.6,49.79,11.33,18.3,2.62,0.0
20200721:1910,43.8,10.79,2.69,17.67,2.69,0.0
20200721:2010,0.0,0.0,0.0,15.9,2.97,0.0
20200721:2110,0.0,0.0,0.0,14.65,2.9,0.0
20200721:2210,0.0,0.0,0.0,13.65,2.55,0.0
20200721:2310,0.0,0.0,0.0,12.81,2.0,0.0
20200722:0010,0.0,0.0,0.0,12.03,1.59,0.0
20200722:0110,0.0,0.0,0.0,11.02,1.31,0.0
20200722:0210,0.0,0.0,0.0,10.27,1.31,0.0
20200722:0310,0.0,0.0,0.0,9.61,1.31,0.0
20200722:0410,0.0,0.0,0.0,9.15,1.31,0.0
20200722:0510,717.8,57.26,10.88,9.61,1.1,0.0
20200722:0610,2678.6,200.08,20.09,11.79,1.52,0.0
20200722:0710,6704.2,420.63,29.56,13.42,1.72,0.0
20200722:0810,10126.0,624.98,38.89,14.82,1.86,0.0
20200722:0910,12466.2,784.73,47.54,16.54,1.86,0.0
20200722:1010,10331.2,653.5,54.67,17.7,1.38,0.0
20200722:1110,12647.8,814.17,58.93,18.27,1.45,0.0
20200722:1210,12316.2,789.87,59.01,19.05,1.79,0.0
20200722:1310,13280.4,853.24,54.87,19.63,2.14,0.0
20200722:1410,11386.2,722.13,47.82,20.17,2.34,0.0
20200722:1510,9217.2,579.71,39.2,20.1,2.69,0.0
20200722:1610,5781.2,378.59,29.89,19.81,3.03,0.0
20200722:1710,1858.6,162.79,20.42,19.18,3.31,0.0
20200722:1810,497.2,44.81,11.19,18.28,3.1,0.0
20200722:1910,0.0,1.66,2.54,17.38,2.62,0.0
20200722:2010,0.0,0.0,0.0,16.05,2.28,0.0
20200722:2110,0.0,0.0,0.0,15.01,2.14,0.0
20200722:2210,0.0,0.0,0.0,14.18,2.0,0.0
20200722:2310,0.0,0.0,0.0,13.2,1.86,0.0
20200723:0010,0.0,0.0,0.0,12.15,1.66,0.0
20200723:0110,0.0,0.0,0.0,11.49,1.38,0.0
20200723:0210,0.0,0.0,0.0,11.34,1.1,0.0
20200723:0310,0.0,0.0,0.0,10.5,1.31,0.0
20200723:0410,0.0,0.0,0.0,9.53,1.59,0.0
20200723:0510,623.0,51.45,10.72,10.12,1.31,0.0
20200723:0610,2611.4,201.47,19.94,13.65,0.76,0.0
20200723:0710,6613.2,426.72,29.4,16.22,0.21,0.0
20200723:0810,10179.2,647.88,38.73,17.6,0.62,0.0
20200723:0910,12566.4,817.58,47.37,18.75,0.69,0.0
20200723:1010,14069.6,943.31,54.48,19.93,0.48,0.0
20200723:1110,14803.4,1014.34,58.74,21.08,0.34,0.0
20200723:1210,14796.8,1019.07,58.82,22.01,0.34,0.0
20200723:1310,13990.6,946.0,54.69,22.69,0.69,0.0
20200723:1410,12043.8,792.35,47.66,23.14,1.1,0.0
20200723:1510,8595.0,556.7,39.05,23.71,1.38,0.0
20200723:1610,4926.6,327.77,29.75,23.53,1.79,0.0
20200723:1710,1676.0,122.02,20.28,23.16,1.93,0.0
20200723:1810,510.4,46.47,11.04,22.44,1.66,0.0
20200723:1910,0.0,0.83,2.38,21.35,1.38,0.0
20200723:2010,0.0,0.0,0.0,19.86,1.03,0.0
20200723:2110,0.0,0.0,0.0,19.14,0.97,0.0
20200723:2210,0.0,0.0,0.0,17.93,1.45,0.0
20200723:2310,0.0,0.0,0.0,17.09,1.72,0.0
20200724:0010,0.0,0.0,0.0,16.13,2.0,0.0
20200724:0110,0.0,0.0,0.0,15.57,2.41,0.0
20200724:0210,0.0,0.0,0.0,15.28,2.62,0.0
20200724:0310,0.0,0.0,0.0,14.73,2.62,0.0
20200724:0410,0.0,0.0,0.0,13.99,2.62,0.0
20200724:0510,534.2,46.47,10.55,13.94,2.76,0.0
20200724:0610,690.2,56.61,19.78,14.87,3.31,0.0
20200724:0710,6421.6,404.84,29.25,16.8,3.72,0.0
20200724:0810,9814.6,604.73,38.57,17.95,3.72,0.0
20200724:0910,12517.6,779.66,47.2,19.26,4.0,0.0
20200724:1010,14298.8,899.67,54.29,20.64,4.83,0.0
20200724:1110,14330.4,905.98,58.53,20.98,4.76,0.0
20200724:1210,9578.8,598.8,58.61,21.04,4.48,0.0
20200724:1310,2247.6,153.65,54.51,21.18,4.34,0.0
20200724:1410,3807.0,246.68,47.5,20.95,4.14,0.0
20200724:1510,8003.6,501.63,38.9,21.05,3.86,0.0
20200724:1610,851.8,68.29,29.6,20.79,3.59,0.0
20200724:1710,1798.8,128.78,20.13,20.37,2.97,0.0
20200724:1810,188.6,23.24,10.89,19.96,2.76,0.0
20200724:1910,0.0,0.0,0.0,18.84,2.14,0.0
20200724:2010,0.0,0.0,0.0,18.04,2.21,0.0
20200724:2110,0.0,0.0,0.0,17.3,2.0,0.0
20200724:2210,0.0,0.0,0.0,16.59,2.0,0.0
20200724:2310,0.0,0.0,0.0,15.84,2.07,0.0
20200725:0010,0.0,0.0,0.0,15.77,2.07,0.0
20200725:0110,0.0,0.0,0.0,15.07,2.34,0.0
20200725:0210,0.0,0.0,0.0,14.89,2.48,0.0
20200725:0310,0.0,0.0,0.0,14.57,2.62,0.0
20200725:0410,0.0,0.0,0.0,14.35,2.69,0.0
20200725:0510,28.4,9.13,10.39,14.98,2.69,0.0
20200725:0610,1059.4,79.97,19.62,16.5,2.9,0.0
20200725:0710,1511.2,107.82,29.09,17.93,3.59,0.0
20200725:0810,6269.0,390.42,38.4,19.17,4.21,0.0
20200725:0910,11141.8,691.58,47.02,19.76,4.34,0.0
20200725:1010,5337.6,336.66,54.1,20.15,4.69,0.0
20200725:1110,9171.4,572.34,58.32,20.68,4.41,0.0
20200725:1210,1783.0,125.79,58.41,21.22,3.86,0.0
20200725:1310,2106.6,145.56,54.32,21.53,3.59,0.0
20200725:1410,4631.2,298.27,47.33,22.05,3.17,0.0
20200725:1510,4150.8,270.23,38.74,22.58,2.69,0.0
20200725:1610,3602.4,239.76,29.44,23.22,2.55,0.0
20200725:1710,756.6,62.9,19.97,23.22,2.07,0.0
20200725:1810,154.6,20.75,10.73,22.35,1.1,0.0
20200725:1910,0.0,0.0,0.0,21.61,2.0,0.0
20200725:2010,0.0,0.0,0.0,20.92,2.69,0.0
20200725:2110,0.0,0.0,0.0,19.78,3.17,0.0
20200725:2210,0.0,0.0,0.0,18.23,2.97,0.0
20200725:2310,0.0,0.0,0.0,17.02,3.24,0.0
20200726:0010,0.0,0.0,0.0,16.73,3.72,0.0
20200726:0110,0.0,0.0,0.0,16.59,4.28,0.0
20200726:0210,0.0,0.0,0.0,16.35,4.9,0.0
20200726:0310,0.0,0.0,0.0,16.05,5.17,0.0
20200726:0410,0.0,0.0,0.0,15.9,5.03,0.0
20200726:0510,698.8,57.26,10.22,15.55,5.17,0.0
20200726:0610,1540.6,109.1,19.46,15.49,4.76,0.0
20200726:0710,3972.4,252.59,28.92,16.47,4.34,0.0
20200726:0810,8658.8,530.14,38.23,17.24,4.34,0.0
20200726:0910,10136.6,622.83,46.84,17.76,4.28,0.0
20200726:1010,5713.8,356.09,53.9,18.05,4.41,0.0
20200726:1110,8079.4,499.81,58.11,18.84,4.62,0.0
20200726:1210,9732.6,602.65,58.19,19.62,5.03,0.0
20200726:1310,7807.4,484.2,54.12,20.18,5.52,0.0
20200726:1410,1290.2,95.24,47.15,20.25,5.72,0.0
20200726:1510,6441.8,402.08,38.58,20.42,5.52,0.0
20200726:1610,5807.0,378.51,29.28,20.36,4.97,0.0
20200726:1710,1560.6,112.47,19.81,20.03,4.34,0.0
20200726:1810,658.4,55.6,10.56,19.45,3.17,0.0
20200726:1910,0.0,0.0,0.0,18.23,2.62,0.0
20200726:2010,0.0,0.0,0.0,17.36,2.0,0.0
20200726:2110,0.0,0.0,0.0,16.43,1.86,0.0
20200726:2210,0.0,0.0,0.0,15.8,1.79,0.0
20200726:2310,0.0,0.0,0.0,15.21,1.86,0.0
20200727:0010,0.0,0.0,0.0,14.55,2.0,0.0
20200727:0110,0.0,0.0,0.0,13.89,2.07,0.0
20200727:0210,0.0,0.0,0.0,13.54,2.14,0.0
20200727:0310,0.0,0.0,0.0,13.55,2.14,0.0
20200727:0410,0.0,0.0,0.0,13.75,2.28,0.0
20200727:0510,570.4,48.96,10.05,14.65,2.34,0.0
20200727:0610,1694.6,119.41,19.29,15.78,2.48,0.0
20200727:0710,1744.8,121.3,28.76,16.54,2.41,0.0
20200727:0810,7203.2,450.19,38.06,19.33,2.76,0.0
20200727:0910,7041.0,441.0,46.66,20.34,3.45,0.0
20200727:1010,13002.0,823.77,53.7,20.72,3.59,0.0
20200727:1110,9394.2,592.26,57.89,21.49,3.45,0.0
20200727:1210,9451.6,596.75,57.97,24.08,5.38,0.0
20200727:1310,2129.8,149.15,53.92,25.63,6.07,0.0
20200727:1410,11009.6,698.39,46.96,26.21,6.0,0.0
20200727:1510,8796.2,559.84,38.41,26.74,6.21,0.0
20200727:1610,4922.8,328.35,29.12,26.77,5.93,0.0
20200727:1710,1988.4,160.15,19.65,26.33,4.83,0.0
20200727:1810,651.6,56.43,10.39,25.28,4.21,0.0
20200727:1910,0.0,0.0,0.0,23.71,3.31,0.0
20200727:2010,0.0,0.0,0.0,22.04,3.24,0.0
20200727:2110,0.0,0.0,0.0,20.91,3.45,0.0
20200727:2210,0.0,0.0,0.0,20.0,3.45,0.0
20200727:2310,0.0,0.0,0.0,19.07,3.1,0.0
20200728:0010,0.0,0.0,0.0,18.11,2.97,0.0
20200728:0110,0.0,0.0,0.0,17.6,3.45,0.0
20200728:0210,0.0,0.0,0.0,17.0,4.0,0.0
20200728:0310,0.0,0.0,0.0,16.87,4.69,0.0
20200728:0410,0.0,0.0,0.0,16.69,4.9,0.0
20200728:0510,214.4,24.9,9.87,16.7,4.48,0.0
20200728:0610,1915.6,134.04,19.12,16.8,4.76,0.0
20200728:0710,3748.4,239.5,28.59,17.56,6.55,0.0
20200728:0810,7538.0,461.33,37.89,18.15,6.14,0.0
20200728:0910,7005.8,431.04,46.47,18.49,5.93,0.0
20200728:1010,12442.0,766.21,53.49,18.9,5.93,0.0
20200728:1110,13115.6,811.76,57.66,19.05,5.79,0.0
20200728:1210,9562.4,590.56,57.75,19.84,5.79,0.0
20200728:1310,9402.0,581.05,53.71,20.2,5.79,0.0
20200728:1410,7431.2,460.72,46.77,20.42,5.86,0.0
20200728:1510,8903.4,549.91,38.23,20.01,5.72,0.0
20200728:1610,3822.8,247.51,28.95,19.45,5.38,0.0
20200728:1710,2112.2,161.6,19.48,18.9,4.97,0.0
20200728:1810,701.0,58.09,10.21,18.42,4.07,0.0
20200728:1910,0.0,0.0,0.0,17.45,3.93,0.0
20200728:2010,0.0,0.0,0.0,16.54,3.31,0.0
20200728:2110,0.0,0.0,0.0,15.87,2.83,0.0
20200728:2210,0.0,0.0,0.0,15.09,2.48,0.0
20200728:2310,0.0,0.0,0.0,14.27,2.41,0.0
20200729:0010,0.0,0.0,0.0,13.71,2.48,0.0
20200729:0110,0.0,0.0,0.0,13.42,2.55,0.0
20200729:0210,0.0,0.0,0.0,13.29,2.62,0.0
20200729:0310,0.0,0.0,0.0,13.12,2.69,0.0
20200729:0410,0.0,0.0,0.0,12.86,2.62,0.0
20200729:0510,627.6,52.28,9.7,12.95,2.41,0.0
20200729:0610,2528.4,182.44,18.95,13.65,2.76,0.0
20200729:0710,5773.8,361.02,28.42,14.48,2.83,0.0
20200729:0810,9498.2,582.26,37.71,15.5,2.83,0.0
20200729:0910,11089.2,684.29,46.28,16.72,3.24,0.0
20200729:1010,5683.4,354.7,53.28,17.69,3.59,0.0
20200729:1110,11856.4,740.07,57.44,18.42,3.66,0.0
20200729:1210,10392.2,648.23,57.52,19.07,3.59,0.0
20200729:1310,12831.8,810.6,53.5,20.07,3.52,0.0
20200729:1410,12562.0,791.73,46.58,20.62,3.52,0.0
20200729:1510,9682.4,608.0,38.05,20.8,3.38,0.0
20200729:1610,5734.0,377.11,28.77,20.67,3.1,0.0
20200729:1710,1802.4,159.18,19.3,20.22,2.69,0.0
20200729:1810,619.2,53.11,10.03,19.53,2.07,0.0
20200729:1910,0.0,0.0,0.0,18.5,1.93,0.0
20200729:2010,0.0,0.0,0.0,17.08,1.86,0.0
20200729:2110,0.0,0.0,0.0,15.79,2.0,0.0
20200729:2210,0.0,0.0,0.0,14.65,2.14,0.0
20200729:2310,0.0,0.0,0.0,13.7,2.14,0.0
20200730:0010,0.0,0.0,0.0,12.95,2.0,0.0
20200730:0110,0.0,0.0,0.0,12.3,1.86,0.0
20200730:0210,0.0,0.0,0.0,11.7,1.79,0.0
20200730:0310,0.0,0.0,0.0,11.19,1.79,0.0
20200730:0410,0.0,0.0,0.0,10.78,1.86,0.0
20200730:0510,528.6,45.64,9.52,11.11,1.59,0.0
20200730:0610,2479.8,192.96,18.78,14.38,1.24,0.0
20200730:0710,6354.6,409.04,28.25,17.46,0.97,0.0
20200730:0810,9584.8,612.06,37.53,19.49,0.83,0.0
20200730:0910,12407.6,812.14,46.09,20.99,0.9,0.0
20200730:1010,14137.0,950.31,53.07,22.32,0.9,0.0
20200730:1110,14367.2,997.7,57.2,23.47,0.21,0.0
20200730:1210,14334.8,997.76,57.28,24.35,0.28,0.0
20200730:1310,13639.6,946.8,53.28,25.09,0.14,0.0
20200730:1410,11639.6,782.46,46.38,25.66,0.55,0.0
20200730:1510,9080.4,596.13,37.86,25.92,1.24,0.0
20200730:1610,5400.4,367.32,28.59,25.79,1.59,0.0
20200730:1710,1709.4,155.23,19.12,25.34,1.86,0.0
20200730:1810,517.6,47.3,9.84,24.33,1.79,0.0
20200730:1910,0.0,0.0,0.0,22.64,2.62,0.0
20200730:2010,0.0,0.0,0.0,20.94,2.69,0.0
20200730:2110,0.0,0.0,0.0,19.79,2.48,0.0
20200730:2210,0.0,0.0,0.0,18.86,2.34,0.0
20200730:2310,0.0,0.0,0.0,17.87,2.14,0.0
20200731:0010,0.0,0.0,0.0,16.8,2.07,0.0
20200731:0110,0.0,0.0,0.0,15.85,2.07,0.0
20200731:0210,0.0,0.0,0.0,15.1,2.14,0.0
20200731:0310,0.0,0.0,0.0,14.55,2.14,0.0
20200731:0410,0.0,0.0,0.0,14.24,2.21,0.0
20200731:0510,443.6,40.66,9.34,14.63,2.14,0.0
20200731:0610,2456.2,195.74,18.6,17.86,1.86,0.0
20200731:0710,6458.6,424.1,28.07,22.74,1.79,0.0
20200731:0810,9987.6,647.13,37.35,25.36,2.21,0.0
20200731:0910,12333.2,812.76,45.89,27.37,2.62,0.0
20200731:1010,14302.0,962.96,52.85,28.93,2.83,0.0
20200731:1110,14910.8,1018.22,56.96,30.2,2.83,0.0
20200731:1210,14452.4,992.35,57.04,31.19,2.62,0.0
20200731:1310,13838.4,949.12,53.05,31.95,2.48,0.0
20200731:1410,11711.6,792.98,46.17,32.44,2.34,0.0
20200731:1510,8966.8,601.69,37.67,32.63,2.41,0.0
20200731:1610,5346.8,374.51,28.4,32.52,2.28,0.0
20200731:1710,1652.6,156.02,18.93,32.0,1.93,0.0
20200731:1810,477.8,45.64,9.65,30.22,1.52,0.0
20200731:1910,0.0,0.0,0.0,28.19,2.21,0.0
20200731:2010,0.0,0.0,0.0,25.26,2.62,0.0
20200731:2110,0.0,0.0,0.0,23.7,2.76,0.0
20200731:2210,0.0,0.0,0.0,23.46,3.03,0.0
20200731:2310,0.0,0.0,0.0,23.35,3.17,0.0
20200801:0010,0.0,0.0,0.0,23.35,3.17,0.0
20200801:0110,0.0,0.0,0.0,23.22,2.97,0.0
20200801:0210,0.0,0.0,0.0,22.9,2.76,0.0
20200801:0310,0.0,0.0,0.0,22.05,2.76,0.0
20200801:0410,0.0,0.0,0.0,21.44,2.55,0.0
20200801:0510,19.6,8.3,9.15,20.77,2.83,0.0
20200801:0610,613.2,53.01,18.42,21.13,2.97,0.0
20200801:0710,410.4,39.53,27.89,21.94,1.79,0.0
20200801:0810,2806.8,189.57,37.17,23.06,2.0,0.0
20200801:0910,7014.8,450.13,45.7,24.26,2.41,0.0
20200801:1010,14075.2,927.18,52.63,25.59,2.9,0.0
20200801:1110,14788.6,986.33,56.72,26.17,2.76,0.0
20200801:1210,14384.0,960.48,56.79,27.1,2.83,0.0
20200801:1310,13790.8,913.58,52.82,27.75,3.17,0.0
20200801:1410,11676.6,762.43,45.96,28.07,3.38,0.0
20200801:1510,7317.6,475.32,37.47,27.71,3.31,0.0
20200801:1610,4545.8,306.47,28.21,27.16,3.31,0.0
20200801:1710,1882.6,142.95,18.74,26.42,3.24,0.0
20200801:1810,576.0,51.45,9.45,25.5,3.31,0.0
20200801:1910,0.0,0.0,0.0,23.82,3.59,0.0
20200801:2010,0.0,0.0,0.0,22.32,3.45,0.0
20200801:2110,0.0,0.0,0.0,21.17,3.1,0.0
20200801:2210,0.0,0.0,0.0,20.39,2.41,0.0
20200801:2310,0.0,0.0,0.0,19.72,1.52,0.0
20200802:0010,0.0,0.0,0.0,19.27,1.38,0.0
20200802:0110,0.0,0.0,0.0,18.69,1.52,0.0
20200802:0210,0.0,0.0,0.0,17.77,1.93,0.0
20200802:0310,0.0,0.0,0.0,17.11,1.79,0.0
20200802:0410,0.0,0.0,0.0,16.54,1.79,0.0
20200802:0510,489.2,43.98,8.97,16.36,1.79,0.0
20200802:0610,1448.6,104.57,18.24,16.57,2.28,0.0
20200802:0710,3876.2,247.2,27.72,16.41,3.86,0.0
20200802:0810,7446.0,456.56,36.98,17.32,4.48,0.0
20200802:0910,10541.2,649.44,45.49,18.61,4.48,0.0
20200802:1010,7826.4,485.99,52.4,19.65,4.41,0.0
20200802:1110,4302.2,275.82,56.47,20.64,4.48,0.0
20200802:1210,12567.8,793.28,56.54,20.99,4.14,0.0
20200802:1310,13957.6,885.54,52.58,21.04,4.0,0.0
20200802:1410,5633.2,356.43,45.74,21.11,3.86,0.0
20200802:1510,3523.2,229.6,37.26,20.74,3.79,0.0
20200802:1610,1715.6,121.3,28.01,20.34,3.59,0.0
20200802:1710,1177.4,88.47,18.54,19.75,3.17,0.0
20200802:1810,211.0,24.9,9.25,19.45,2.9,0.0
20200802:1910,0.0,0.0,0.0,18.89,2.48,0.0
20200802:2010,0.0,0.0,0.0,18.28,2.28,0.0
20200802:2110,0.0,0.0,0.0,17.65,2.28,0.0
20200802:2210,0.0,0.0,0.0,16.71,2.14,0.0
20200802:2310,0.0,0.0,0.0,15.96,1.93,0.0
20200803:0010,0.0,0.0,0.0,15.15,1.45,0.0
20200803:0110,0.0,0.0,0.0,14.66,0.83,0.0
20200803:0210,0.0,0.0,0.0,14.91,0.34,0.0
20200803:0310,0.0,0.0,0.0,14.43,0.28,0.0
20200803:0410,0.0,0.0,0.0,13.98,0.21,0.0
20200803:0510,546.2,47.3,8.78,13.73,0.14,0.0
20200803:0610,2289.2,165.2,18.06,14.38,0.07,0.0
20200803:0710,5744.8,365.05,27.53,15.07,0.76,0.0
20200803:0810,7397.4,462.07,36.79,16.27,0.9,0.0
20200803:0910,10200.4,645.53,45.29,17.36,0.97,0.0
20200803:1010,11808.8,754.92,52.17,18.02,1.31,0.0
20200803:1110,7582.2,477.43,56.22,18.56,1.59,0.0
20200803:1210,5483.8,348.89,56.28,19.36,1.59,0.0
20200803:1310,1553.4,111.42,52.34,19.61,1.72,0.0
20200803:1410,6084.4,385.51,45.51,20.0,1.86,0.0
20200803:1510,1963.2,136.57,37.05,20.34,1.93,0.0
20200803:1610,4441.6,290.45,27.8,20.15,2.28,0.0
20200803:1710,1958.6,148.69,18.33,19.8,2.48,0.0
20200803:1810,544.0,48.13,9.04,19.4,2.55,0.0
20200803:1910,0.0,0.0,0.0,17.93,2.9,0.0
20200803:2010,0.0,0.0,0.0,16.78,3.03,0.0
20200803:2110,0.0,0.0,0.0,15.98,3.31,0.0
20200803:2210,0.0,0.0,0.0,15.24,2.97,0.0
20200803:2310,0.0,0.0,0.0,14.66,2.28,0.0
20200804:0010,0.0,0.0,0.0,13.98,2.28,0.0
20200804:0110,0.0,0.0,0.0,13.33,2.28,0.0
20200804:0210,0.0,0.0,0.0,12.8,1.93,0.0
20200804:0310,0.0,0.0,0.0,12.35,1.79,0.0
20200804:0410,0.0,0.0,0.0,12.09,1.86,0.0
20200804:0510,526.0,45.64,8.59,12.17,2.14,0.0
20200804:0610,2350.0,167.11,17.88,12.67,2.34,0.0
20200804:0710,4353.2,273.59,27.35,13.31,2.07,0.0
20200804:0810,7897.0,484.58,36.6,14.71,2.07,0.0
20200804:0910,10368.8,643.11,45.08,16.25,2.21,0.0
20200804:1010,10531.4,658.43,51.94,17.82,2.48,0.0
20200804:1110,13292.2,848.38,55.97,18.85,2.48,0.0
20200804:1210,13794.0,885.5,56.02,19.73,2.62,0.0
20200804:1310,11445.2,727.88,52.09,20.58,2.55,0.0
20200804:1410,11307.0,719.54,45.28,21.07,2.41,0.0
20200804:1510,8935.8,567.03,36.83,21.3,2.28,0.0
20200804:1610,5538.4,366.5,27.59,21.3,2.34,0.0
20200804:1710,1764.4,153.14,18.12,20.83,2.14,0.0
20200804:1810,503.8,45.64,8.82,20.33,1.86,0.0
20200804:1910,0.0,0.0,0.0,19.3,1.66,0.0
20200804:2010,0.0,0.0,0.0,17.44,1.52,0.0
20200804:2110,0.0,0.0,0.0,17.72,0.69,0.0
20200804:2210,0.0,0.0,0.0,16.64,0.9,0.0
20200804:2310,0.0,0.0,0.0,13.93,1.66,0.0
20200805:0010,0.0,0.0,0.0,12.95,1.93,0.0
20200805:0110,0.0,0.0,0.0,12.46,2.21,0.0
20200805:0210,0.0,0.0,0.0,12.27,2.34,0.0
20200805:0310,0.0,0.0,0.0,12.55,2.55,0.0
20200805:0410,0.0,0.0,0.0,13.37,2.97,0.0
20200805:0510,432.2,39.83,8.4,14.3,3.03,0.0
20200805:0610,2420.6,189.26,17.69,16.51,2.76,0.0
20200805:0710,6489.0,415.36,27.16,19.01,2.9,0.0
20200805:0810,10183.4,640.54,36.41,21.15,3.1,0.0
20200805:0910,12754.6,817.5,44.87,22.58,2.97,0.0
20200805:1010,14597.6,957.78,51.7,23.72,2.76,0.0
20200805:1110,15224.2,1012.77,55.7,24.76,2.69,0.0
20200805:1210,15036.2,1005.96,55.75,25.65,2.55,0.0
20200805:1310,14167.8,942.92,51.83,26.38,2.55,0.0
20200805:1410,11968.6,785.98,45.05,26.87,2.48,0.0
20200805:1510,9150.2,596.61,36.61,27.11,2.48,0.0
20200805:1610,5401.6,368.69,27.38,27.1,2.41,0.0
20200805:1710,1623.6,149.61,17.91,26.77,2.28,0.0
20200805:1810,405.8,39.83,8.6,25.92,1.59,0.0
20200805:1910,0.0,0.0,0.0,24.08,1.66,0.0
20200805:2010,0.0,0.0,0.0,21.69,2.41,0.0
20200805:2110,0.0,0.0,0.0,20.17,2.69,0.0
20200805:2210,0.0,0.0,0.0,19.66,2.97,0.0
20200805:2310,0.0,0.0,0.0,19.44,3.1,0.0
20200806:0010,0.0,0.0,0.0,19.17,3.03,0.0
20200806:0110,0.0,0.0,0.0,18.84,3.03,0.0
20200806:0210,0.0,0.0,0.0,18.56,3.03,0.0
20200806:0310,0.0,0.0,0.0,18.28,3.03,0.0
20200806:0410,0.0,0.0,0.0,18.05,3.03,0.0
20200806:0510,399.2,38.17,8.2,18.11,2.97,0.0
20200806:0610,2353.4,185.19,17.5,19.64,2.48,0.0
20200806:0710,6194.8,403.8,26.97,22.12,2.28,0.0
20200806:0810,9638.4,619.38,36.21,24.45,2.41,0.0
20200806:0910,12032.8,788.93,44.65,25.95,2.28,0.0
20200806:1010,13768.8,925.82,51.46,26.98,2.0,0.0
20200806:1110,14342.8,977.38,55.44,27.87,1.93,0.0
20200806:1210,9598.6,636.6,55.48,28.6,1.86,0.0
20200806:1310,13395.4,911.29,51.57,29.24,1.86,0.0
20200806:1410,10577.6,706.42,44.8,29.61,1.79,0.0
20200806:1510,7677.0,509.26,36.38,29.74,1.79,0.0
20200806:1610,5171.6,358.01,27.16,29.57,1.86,0.0
20200806:1710,1604.4,147.72,17.69,29.09,1.93,0.0
20200806:1810,447.8,43.15,8.38,28.16,1.79,0.0
20200806:1910,0.0,0.0,0.0,26.46,2.14,0.0
20200806:2010,0.0,0.0,0.0,24.42,2.41,0.0
20200806:2110,0.0,0.0,0.0,23.08,2.55,0.0
20200806:2210,0.0,0.0,0.0,22.1,2.48,0.0
20200806:2310,0.0,0.0,0.0,21.09,2.28,0.0
20200807:0010,0.0,0.0,0.0,20.08,2.14,0.0
20200807:0110,0.0,0.0,0.0,19.13,2.07,0.0
20200807:0210,0.0,0.0,0.0,18.32,2.0,0.0
20200807:0310,0.0,0.0,0.0,17.65,2.0,0.0
20200807:0410,0.0,0.0,0.0,17.12,2.0,0.0
20200807:0510,413.4,39.0,8.0,17.03,1.79,0.0
20200807:0610,2310.8,182.88,17.31,19.84,1.17,0.0
20200807:0710,6042.8,403.2,26.78,24.92,0.97,0.0
20200807:0810,9396.4,619.25,36.01,27.13,1.31,0.0
20200807:0910,11854.0,794.79,44.44,28.43,1.59,0.0
20200807:1010,13771.4,944.93,51.22,29.45,1.66,0.0
20200807:1110,14197.6,985.27,55.17,30.31,1.66,0.0
20200807:1210,13955.4,971.63,55.2,31.04,1.59,0.0
